BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	ecotype_s	geo_loc_name_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	age_s	dev_stage_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN03327040	SRX972879	9607	2015-03-30	1676	1076	2016-05-06	SRR1946196	SRS887233	9607	9607	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327041	SRX972880	9608	2015-03-30	1933	1241	2016-05-06	SRR1946197	SRS887231	9608	9608	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327042	SRX972881	9609	2015-03-30	2290	1473	2016-05-06	SRR1946198	SRS887230	9609	9609	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327043	SRX972882	9610	2015-03-30	2437	1562	2016-05-06	SRR1946199	SRS887229	9610	9610	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327044	SRX972883	9611	2015-03-30	2873	1848	2016-05-06	SRR1946200	SRS887227	9611	9611	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327045	SRX972884	9612	2015-03-30	2315	1481	2016-05-06	SRR1946201	SRS887225	9612	9612	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327046	SRX972885	9613	2015-03-30	1993	1315	2016-05-06	SRR1946202	SRS887226	9613	9613	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327047	SRX972886	9615	2015-03-30	2654	1763	2016-05-06	SRR1946203	SRS887228	9615	9615	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327048	SRX972887	9616	2015-03-30	2884	1967	2016-05-06	SRR1946204	SRS887224	9616	9616	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327049	SRX972888	9617	2015-03-30	1746	1109	2016-05-06	SRR1946205	SRS887223	9617	9617	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327050	SRX972889	9619	2015-03-30	2178	1439	2016-05-06	SRR1946206	SRS887220	9619	9619	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327051	SRX972890	9620	2015-03-30	2203	1415	2016-05-06	SRR1946207	SRS887219	9620	9620	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327052	SRX972891	9621	2015-03-30	3040	2059	2016-05-06	SRR1946208	SRS887218	9621	9621	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327053	SRX972892	9622	2015-03-30	2067	1365	2016-05-06	SRR1946209	SRS887217	9622	9622	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
